Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
1,Grand Theft Auto,,Series,ASC Games,Rockstar North|Rockstar Leeds|Digital Eclipse,,,,310000000.0,,,,,,1998-03-27 00:00:00,2020-02-03
2,Assassin's Creed,,Series,Ubisoft,Ubisoft|Gameloft|Griptonite Games|Blue Byte,,,,140000000.0,,,,,,2007-11-13 00:00:00,2020-02-11
3,The Legend of Zelda,,Series,Nintendo,Nintendo,,,,107070000.0,,,,,,1987-07-14 00:00:00,2020-02-03
4,Lego,,Series,Mindscape,TT Fusion,,,,104300000.0,,,,,,1997-09-26 00:00:00,2020-03-01
5,Resident Evil,,Series,Capcom,Capcom,,,,100000000.0,,,,,,1996-03-30 00:00:00,2020-02-03
6,Tomb Raider,,Series,Eidos Interactive,Core Design|Crystal Dynamics|Nixxes Software|Ubisoft Milan|Eidos Montreal,,,,75000000.0,,,,,,1996-11-14 00:00:00,2020-02-27
7,Metal Gear,,Series,Konami,Konami|Kojima Productions|Bluepoint Games|Ideaworks Game Studio| PlatinumGames|Silicon Knights,,,,55000000.0,,,,,,1987-07-13 00:00:00,2020-02-26
8,Red Dead,,Series,Rockstar Games,Rockstar San Diego|Rockstar Studios,,,,48000000.0,,,,,,2004-05-04 00:00:00,2020-02-26
9,Harry Potter,,Series,Electronic Arts,Griptonite Games|KnowWonder|Argonaut Games|Westlake Entertainment|Warthog Games Limited|Eurocom|Electronic Arts|Aspyr|Magic Pockets| EA Bright Light|TT Fusion|SCE London Studio|Jam City|Niantic|WB Games San Francisco,,,,42700000.0,,,,,,2001-11-15 00:00:00,2020-03-06
10,Lego Star Wars,,Series,Eidos Interactive,TT Fusion,,,,33000000.0,,,,,,2005-03-29 00:00:00,2020-03-02
11,Tom Clancy's Splinter Cell,,Series,Ubisoft,Ubisoft,,,,31000000.0,,,,,,2002-11-17 00:00:00,2020-02-08
12,James Bond,,Series,Unknown,Richard Shepherd Software|Parker Brothers|Domark|Angelsoft|Melbourne House|Sculptured Software|Elite Systems International|Quixel|The Kremlin|	Delphine Software International|Eurocom|Gray Matter|Tiger Electronics|Rare|Saffire Corporation|Black Ops Enterta,,,,30000000.0,,,,,,N/A,2020-03-08
13,Terraria,,Series,505 Games,Re-Logic,,,,30000000.0,,,,,,2011-05-16 00:00:00,2020-03-07
