Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
1,Professor Layton,,Series,Nintendo,Level-5|Matrix Software,,,,17000000.0,,,,,,2008-02-10 00:00:00,2020-02-04 00:00:00
2,Myst,,Series,Broderbund,"Cyan, Inc.|Presto Studios|Cyan Worlds|Ubisoft",,,,12500000.0,,,,,,1993-09-24 00:00:00,2020-03-09 00:00:00
3,The Legend of Zelda: Ocarina of Time,,N64,Nintendo,Nintendo EAD,,9.9,10.0,7600000.0,,,,,,1998-11-23 00:00:00,N/A
4,Ace Attorney,,Series,Capcom,Capcom,,,,7500000.0,,,,,,2005-10-12 00:00:00,2020-02-04 00:00:00
5,The Legend of Zelda: Twilight Princess,,Wii,Nintendo,Nintendo EAD,9.3,9.5,9.6,7260000.0,,,,,,2006-11-19 00:00:00,N/A
6,The Legend of Zelda,,NES,Nintendo,Nintendo EAD,,,,6510000.0,,,,,,1987-08-22 00:00:00,N/A
7,Myst,,PC,Broderbund,Cyan Worlds,,8.9,,6300000.0,,,,,,1995-01-01 00:00:00,N/A
8,Luigi's Mansion: Dark Moon,,3DS,Nintendo,Next Level Games,,8.6,,6160000.0,,,,,,2013-03-24 00:00:00,2018-01-01 00:00:00
9,The Legend of Zelda: Ocarina of Time 3D,,3DS,Nintendo,GREZZO,,9.3,,6020000.0,,,,,,2011-06-19 00:00:00,N/A
10,Tomb Raider II,,PS,Eidos Interactive,Core Design Ltd.,,7.6,,,5240000.0,2300000.0,2460000.0,200000.0,280000.0,1997-10-31 00:00:00,N/A
11,Subnautica,,Series,Unknown Worlds Entertainment,Unknown Worlds Entertainment,,,,5230000.0,,,,,,2018-01-23 00:00:00,2020-03-03 00:00:00
12,The Legend of Zelda: Phantom Hourglass,,DS,Nintendo,Nintendo EAD,9.2,9.1,,4760000.0,,,,,,2007-10-02 00:00:00,N/A
13,The Legend of Zelda: A Link to the Past,,SNES,Nintendo,Nintendo EAD,,10.0,,4610000.0,,,,,,1992-04-13 00:00:00,N/A
14,Riven: The Sequel to Myst,,PC,Red Orb,Cyan Worlds,,,,4500000.0,,,,,,1997-10-29 00:00:00,N/A
15,Professor Layton and the Curious Village,,DS,Nintendo,Level 5,,8.7,,4490000.0,,,,,,2008-02-10 00:00:00,N/A
16,The Legend of Zelda: The Wind Waker,,GC,Nintendo,Nintendo EAD,,9.6,,4430000.0,,,,,,2003-03-26 00:00:00,N/A
17,Zelda II: The Adventure of Link,,NES,Nintendo,Nintendo EAD,,,,4380000.0,,,,,,1988-09-01 00:00:00,2018-01-28 00:00:00
