Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
1,World of WarCraft,,Series,Unknown,Blizzard Entertainment,,,,36900000.0,,,,,,N/A,2020-03-20
2,Guild Wars,,Series,NCSoft,ArenaNet,,,,13500000.0,,,,,,2005-04-26 00:00:00,2020-02-19
3,World of Warcraft,,PC,Blizzard Entertainment,Blizzard Entertainment,,9.2,8.0,12000000.0,,,,,,2004-11-23 00:00:00,2018-04-22
4,World of Warcraft: Cataclysm,,PC,Blizzard Entertainment,Blizzard Entertainment,,9.0,,4700000.0,,,,,,2010-12-07 00:00:00,2018-04-22
5,World of Warcraft: Wrath of the Lich King,,PC,Blizzard Entertainment,Blizzard Entertainment,,9.3,9.3,4000000.0,,,,,,2008-11-13 00:00:00,2018-04-22
6,World of Warcraft: The Burning Crusade,,PC,Blizzard Entertainment,Blizzard Entertainment,,9.2,,3500000.0,,,,,,2007-01-16 00:00:00,2018-04-22
7,World of Warcraft: Battle for Azeroth,,PC,Blizzard Entertainment,Blizzard Entertainment,,,,3400000.0,,,,,,2018-08-14 00:00:00,2018-04-19
8,World of Warcraft: Legion,,PC,Blizzard Entertainment,Blizzard Entertainment,,,,3300000.0,,,,,,2016-08-29 00:00:00,2018-04-22
9,World of Warcraft: Warlords of Draenor,,PC,Activision Blizzard,Blizzard Entertainment,,,,3300000.0,,,,,,2014-11-13 00:00:00,2018-04-22
10,World of Warcraft: Mists of Pandaria,,PC,Blizzard Entertainment,Blizzard Entertainment,,,,2700000.0,,,,,,2012-09-25 00:00:00,2018-04-22
11,The Elder Scrolls Online: Tamriel Unlimited,,PS4,Bethesda Softworks,ZeniMax Online Studios,,,,,2049999.9999999998,740000.0,980000.0,,330000.0,2015-06-09 00:00:00,2018-09-15
12,Final Fantasy XIV Online,,PC,Square Enix,Square Enix,,5.3,,,1580000.0,930000.0,480000.0,,160000.0,2010-09-22 00:00:00,2018-04-22
13,The Elder Scrolls Online: Tamriel Unlimited,,XOne,Bethesda Softworks,ZeniMax Online Studios,,,,,1380000.0,860000.0,390000.0,,130000.0,2015-06-09 00:00:00,2018-09-15
14,Miscreated,,PC,Unknown,Entrada Interactive,,,,1120000.0,,,,,,N/A,2019-02-04
15,The Elder Scrolls Online,,PC,Bethesda Softworks,ZeniMax Online Studios,,,,,1020000.0,350000.0,590000.0,,80000.0,2014-04-04 00:00:00,2018-09-15
16,Dragon Quest X,,Wii,Unknown,Square Enix,,,,,970000.0,,,970000.0,,N/A,2018-04-22
17,Final Fantasy XIV Online,,PS3,Square Enix,Square Enix,,,,,870000.0,390000.0,90000.0,280000.0,110000.0,2013-08-27 00:00:00,2018-04-22
18,Final Fantasy XIV: A Realm Reborn,,PS4,Square Enix,Square Enix,,,,,790000.0,350000.0,230000.0,80000.0,120000.0,2014-04-14 00:00:00,2018-01-23
19,DC Universe Online,,PS3,Sony Online Entertainment,WBIE,,6.5,,,510000.0,350000.0,110000.0,,60000.0,2011-01-11 00:00:00,2018-09-15
20,Dragon Quest X,,WiiU,Square Enix,Square Enix,,,,,420000.0,,,420000.0,,2013-03-30 00:00:00,2018-04-22
21,Final Fantasy XI: Online,,PS2,Square Enix,Square Enix,,8.4,,,320000.0,80000.0,60000.0,150000.0,20000.0,2004-09-21 00:00:00,2018-04-22
22,The Elder Scrolls Online: Morrowind,,PS4,Bethesda Softworks,ZeniMax Online Studios,,,,,240000.0,110000.0,90000.0,,40000.0,2017-06-06 00:00:00,2018-09-15
23,DC Universe Online,,PC,Sony Online Entertainment,WBIE,,7.0,,,230000.0,160000.0,60000.0,,20000.0,2011-01-11 00:00:00,2018-09-15
24,Tower Unite,,PC,Unknown,PixelTail Games,,,,230000.0,,,,,,N/A,2019-02-20
25,Bless Online,,PC,Unknown,Neowiz Corporation,,,,190000.0,,,,,,N/A,2019-03-01
26,Dragon Quest X,,3DS,Square Enix,Square Enix,,,,,170000.0,,,170000.0,,2014-09-04 00:00:00,2018-04-22
27,Final Fantasy XIV: Heavensward,,PS4,Square Enix,Square Enix,,,,,170000.0,,90000.0,60000.0,20000.0,2015-06-23 00:00:00,2018-04-22
28,Final Fantasy XIV: Stormblood,,PS4,Square Enix,Square Enix,,,,,170000.0,50000.0,60000.0,40000.0,20000.0,2017-06-20 00:00:00,2018-06-30
29,WildStar,,PC,Carbine Studios,Carbine Studios,,,,,160000.0,80000.0,70000.0,,10000.0,2014-06-03 00:00:00,2018-11-04
30,The Elder Scrolls Online: Morrowind,,XOne,Bethesda Softworks,ZeniMax Online Studios,,,,,140000.0,90000.0,30000.0,,10000.0,2017-06-06 00:00:00,2018-09-15
31,The Elder Scrolls Online: Summerset,,XOne,Bethesda Softworks,ZeniMax Online Studios,,,,,110000.0,90000.0,10000.0,,10000.0,2018-05-21 00:00:00,2018-09-15
32,Gloria Victis,,PC,Black Eye Games,Black Eye Games,,,,100000.0,,,,,,2016-06-09 00:00:00,2019-03-27
33,The Elder Scrolls Online: Summerset,,PS4,Bethesda Softworks,ZeniMax Online Studios,,7.5,,,100000.0,80000.0,,,20000.0,2018-05-21 00:00:00,2018-09-15
34,Final Fantasy XIV Online Complete Edition,,PS4,Square Enix,Square Enix,,,,,100000.0,70000.0,,20000.0,20000.0,2017-06-20 00:00:00,2018-07-10
35,Final Fantasy XIV: Stormblood,,PC,Square Enix,Square Enix,,,,,60000.0,40000.0,20000.0,,10000.0,2017-06-20 00:00:00,2018-06-30
36,The Elder Scrolls Online: Morrowind,,PC,Bethesda Softworks,ZeniMax Online Studios,,,,,50000.0,20000.0,30000.0,,0.0,2017-06-06 00:00:00,2018-09-15
37,Dragon Quest X: All in One Package,,NS,Square Enix,Square Enix,,,,,40000.0,,,40000.0,,2017-09-21 00:00:00,2018-09-15
