Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
1,Super Mario,,Series,Nintendo,Nintendo,,,,356590000.0,,,,,,1983-07-20 00:00:00,2020-02-20 00:00:00
2,Sonic the Hedgehog,,Series,Sega,Sonic Team,,,,76640000.0,,,,,,1991-06-23 00:00:00,2020-02-07 00:00:00
3,Donkey Kong,,Series,Nintendo,Nintendo|Ikegami Tsushinki|Rare|Namco|Paon|Retro Studios,,,,62550000.0,,,,,,1981-07-31 00:00:00,2020-02-21 00:00:00
4,Crash Bandicoot,,Series,Sony Computer Entertainment,Naughty Dog|Eurocom|Dimps|Radical Entertainment|Polarbit|Vicarious Visions|Beenox,,,,50000000.0,,,,,,1996-09-09 00:00:00,2020-03-02 00:00:00
5,Super Mario Bros.,,NES,Nintendo,Nintendo EAD,,10.0,8.2,40240000.0,,,,,,1985-10-18 00:00:00,N/A
6,Kirby,,Series,Nintendo,HAL Laboratory|Nintendo|Good-Feel|Flagship|Natsume|Capcom|Dimps|Arika,,,,39690000.0,,,,,,1992-08-01 00:00:00,2020-02-22 00:00:00
7,Mega Man,,Series,Capcom,Capcom|Inti Creates,,,,36000000.0,,,,,,1987-12-17 00:00:00,2020-02-03 00:00:00
8,New Super Mario Bros.,,DS,Nintendo,Nintendo EAD,,9.1,8.1,30800000.0,,,,,,2006-05-15 00:00:00,N/A
9,New Super Mario Bros. Wii,,Wii,Nintendo,Nintendo EAD,9.1,8.6,9.2,30300000.0,,,,,,2009-11-15 00:00:00,N/A
10,Rayman,,Series,Ubisoft,Ubisoft,,,,26000000.0,,,,,,1995-09-19 00:00:00,2020-02-10 00:00:00
11,Yoshi,,Series,Nintendo,Nintendo|Artoon|Arzest|Good-Feel|Game Freak|	Tose|Bullet-Proof Software,,,,25350000.0,,,,,,1992-06-01 00:00:00,2020-02-21 00:00:00
12,Super Mario World,,SNES,Nintendo,Nintendo EAD,,8.5,,20610000.0,,,,,,1991-08-13 00:00:00,2018-08-10 00:00:00
13,Spyro,,Series,Sony Computer Entertainment,Insomniac Games|Digital Eclipse|Equinoxe Digital Entertainment|Check Six Studios|Vicarious Visions|Eurocom|Amaze Entertainment|Toys for Bob,,,,20000000.0,,,,,,1998-09-10 00:00:00,2020-03-06 00:00:00
14,Super Mario Land,,GB,Nintendo,Nintendo R&D1,,,,18140000.0,,,,,,1989-08-01 00:00:00,N/A
15,Super Mario Odyssey,,NS,Nintendo,Nintendo EPD,,9.9,,17410000.0,,,,,,2017-10-27 00:00:00,2018-11-19 00:00:00
16,Super Mario Bros. 3,,NES,Nintendo,Nintendo R&D2,,,,17280000.0,,,,,,1990-02-12 00:00:00,2018-08-09 00:00:00
17,Gex,,Series,BMG Interactive Entertainment,Crystal Dynamics|David A. Palmer Productions|Gratuitous Games|Realtime Associates,,,,15000000.0,,,,,,1995-04-01 00:00:00,2020-03-01 00:00:00
18,Sonic the Hedgehog,,GEN,Sega,Sonic Team,,,,15000000.0,,,,,,1991-06-23 00:00:00,N/A
19,Terraria,,PC,Unknown,Re-Logic,,8.8,,14000000.0,,,,,,2011-05-16 00:00:00,2018-03-19 00:00:00
20,New Super Mario Bros. 2,,3DS,Nintendo,Nintendo,,7.5,,13340000.0,,,,,,2012-08-19 00:00:00,2018-01-30 00:00:00
21,Super Mario Galaxy,,Wii,Nintendo,Nintendo EAD Tokyo,9.6,9.7,9.6,12800000.0,,,,,,2007-11-12 00:00:00,N/A
22,Super Mario 3D Land,,3DS,Nintendo,Nintendo EAD Tokyo,,8.9,,12700000.0,,,,,,2011-11-13 00:00:00,2018-04-06 00:00:00
23,Wario,,Series,Nintendo,Nintendo|Treasure|Suzak|Good-Feel,,,,12130000.0,,,,,,1994-03-13 00:00:00,2020-02-22 00:00:00
24,Super Mario 64,,N64,Nintendo,Nintendo EAD,,9.7,,11910000.0,,,,,,1996-09-26 00:00:00,N/A
