Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
1,Need for Speed,,Series,Electronic Arts,EA Black Box|EA Bright Light|EA Canada|Eden Studios|Exient Entertainment|Firebrand Games|Ghost Games|Piranha Games|Slightly Mad Studios|Criterion Games|Firemonkeys Studios,,,,150000000.0,,,,,,1994-08-31 00:00:00,2020-02-24 00:00:00
2,Mario Kart,,Series,Nintendo,Nintendo|Intelligent Systems|Retro Studios|Namco|Namco Bandai,,,,144270000.0,,,,,,1992-09-01 00:00:00,2020-02-20 00:00:00
3,Gran Turismo,,Series,Sony Computer Entertainment,Polyphony Digital,,,,80400000.0,,,,,,1998-05-12 00:00:00,2020-02-05 00:00:00
4,Mario Kart Wii,,Wii,Nintendo,Nintendo EAD,8.7,8.2,9.1,37320000.0,,,,,,2008-04-27 00:00:00,2018-04-11 00:00:00
5,Mario Kart 8 Deluxe,,NS,Nintendo,Nintendo EPD,,9.3,,24770000.0,,,,,,2017-04-28 00:00:00,2018-11-19 00:00:00
6,Mario Kart DS,,DS,Nintendo,Nintendo EAD,,9.1,9.4,23600000.0,,,,,,2005-11-14 00:00:00,N/A
7,Driver,,Series,GT Interactive,Ubisoft Reflections|Sumo Digital|Ubisoft,,,,19000000.0,,,,,,1999-06-30 00:00:00,2020-02-09 00:00:00
8,Mario Kart 7,,3DS,Nintendo,Nintendo EAD / Retro Studios,,8.2,,18710000.0,,,,,,2011-12-04 00:00:00,N/A
9,Midnight Club,,Series,Rockstar Games,Rockstar San Diego|Rebellion Developments|Rockstar Leeds|Rockstar London,,,,18500000.0,,,,,,2000-10-26 00:00:00,2020-02-15 00:00:00
10,Burnout,,Series,Acclaim Entertainment,Criterion Games|Electornic Arts,,,,15000000.0,,,,,,2001-11-01 00:00:00,2020-02-23 00:00:00
11,Gran Turismo 3: A-Spec,,PS2,Sony Computer Entertainment,Polyphony Digital,,9.3,,14890000.0,,,,,,2001-07-09 00:00:00,N/A
12,Gran Turismo 5,,PS3,Sony Computer Entertainment,Polyphony Digital,,8.3,,11950000.0,,,,,,2010-11-24 00:00:00,N/A
13,Gran Turismo 4,,PS2,Sony Computer Entertainment,Polyphony Digital,,8.7,,11760000.0,,,,,,2005-02-22 00:00:00,N/A
14,Gran Turismo,,PS,Sony Computer Entertainment,Polyphony Digital,,9.5,,10850000.0,,,,,,1998-04-30 00:00:00,N/A
15,MX vs. ATV,,Series,Unknown,Rainbow Studios|Beenox|Tantalus Media|Incinerator Studios|THQ Digital Studio Phoenix,,,,10000000.0,,,,,,N/A,2020-04-26 00:00:00
16,Mario Kart 64,,N64,Nintendo,Nintendo EAD,,8.5,,9870000.0,,,,,,1997-02-10 00:00:00,N/A
17,Gran Turismo 2,,PS,Sony Computer Entertainment,Polyphony Digital,,9.2,,9370000.0,,,,,,1999-01-17 00:00:00,N/A
18,Super Mario Kart,,SNES,Nintendo,Nintendo EAD,,10.0,,8760000.0,,,,,,1992-09-01 00:00:00,N/A
19,Mario Kart 8,,WiiU,Nintendo,Nintendo,,8.8,,8450000.0,,,,,,2014-05-30 00:00:00,2018-02-01 00:00:00
20,Moto Racer,,Series,Electronic Arts,SK Software International|Delphine Software International|Microids|Adeline Software International|Artefacts Studio,,,,8000000.0,,,,,,1997-09-03 00:00:00,2020-02-15 00:00:00
21,Need for Speed Underground,,PS2,Electronic Arts,EA Black Box,,8.6,,,7200000.0,3270000.0,2830000.0,80000.0,1020000.0,2003-11-17 00:00:00,N/A
22,Project Gotham Racing,,Series,Sega,Bizarre Creations|Glu Mobile|Pixelbite,,,,7000000.0,,,,,,2001-01-15 00:00:00,2020-02-14 00:00:00
23,Need for Speed Underground 2,,PS2,Electronic Arts,EA Black Box,,8.3,,,6900000.0,2710000.0,3020000.0,80000.0,1090000.0,2004-11-15 00:00:00,N/A
24,Mario Kart: Double Dash!!,,GC,Nintendo,Nintendo EAD,,8.5,,6880000.0,,,,,,2003-11-17 00:00:00,N/A
25,Diddy Kong Racing,,Series,Nintendo,Rare Ltd.,,,,6470000.0,,,,,,1997-11-24 00:00:00,2020-02-22 00:00:00
26,MotorStorm,,Series,Unknown,Evolution Studios|Bigbig Studios|Virtuos,,,,6000000.0,,,,,,N/A,2020-03-27 00:00:00
27,Mario Kart: Super Circuit,,GBA,Nintendo,Intelligent Systems,,9.3,,5910000.0,,,,,,2001-08-26 00:00:00,N/A
28,Forza Motorsport 3,,X360,Microsoft Game Studios,Turn 10 Studios,,9.2,9.8,,5500000.0,2990000.0,1900000.0,100000.0,510000.0,2009-10-27 00:00:00,N/A
29,Gran Turismo 5 Prologue,,PS3,Sony Computer Entertainment,Polyphony Digital,8.4,8.3,,5350000.0,,,,,,2008-04-15 00:00:00,N/A
30,Gran Turismo 6,,PS3,Sony Computer Entertainment America,Polyphony Digital,,,,5220000.0,,,,,,2013-12-06 00:00:00,2018-04-18 00:00:00
31,Diddy Kong Racing,,N64,Nintendo,Rare Ltd.,,8.3,,4880000.0,,,,,,1997-11-24 00:00:00,N/A
32,Crash Team Racing,,PS,Sony Computer Entertainment,Naughty Dog,,9.2,,,4790000.0,2570000.0,1570000.0,440000.0,210000.0,1999-09-30 00:00:00,N/A
33,The Simpsons: Hit & Run,,PS2,VU Games,Radical Entertainment,,7.7,,,4700000.0,1730000.0,2190000.0,,790000.0,2003-09-16 00:00:00,N/A
34,Gran Turismo,,PSP,Sony Computer Entertainment,Polyphony Digital,7.5,7.7,9.5,4670000.0,,,,,,2009-10-01 00:00:00,N/A
35,Forza Motorsport 4,,X360,Microsoft Studios,Turn 10 Studio,,9.1,,,4600000.0,2080000.0,1980000.0,60000.0,490000.0,2011-10-11 00:00:00,N/A
36,Need for Speed: Most Wanted,,PS2,Electronic Arts,EA Canada,,8.6,,,4370000.0,2029999.9999999998,1790000.0,80000.0,470000.0,2005-11-15 00:00:00,N/A
37,Excitebike,,NES,Nintendo,Nintendo R&D1,,,,4160000.0,,,,,,1985-10-18 00:00:00,N/A
38,Forza Motorsport 2,,X360,Microsoft Game Studios,Turn 10 Studios,,9.1,,,4050000.0,2350000.0,1270000.0,30000.0,410000.0,2007-05-29 00:00:00,N/A
39,Gran Turismo Sport,,PS4,Sony Interactive Entertainment,Polyphony Digital,,,,,3770000.0,630000.0,2350000.0,240000.0,540000.0,2017-10-17 00:00:00,2018-01-13 00:00:00
