Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
1,Pokemon,,Series,Nintendo,Game Freak,,,,365600000.0,,,,,,1998-09-28 00:00:00,2020-02-03 00:00:00
2,Final Fantasy,,Series,Square,Square|Square Enix,,,,152500000.0,,,,,,1987-12-18 00:00:00,2020-02-28 00:00:00
3,Dragon Quest,,Series,Square,ArtePiazza|Chunsoft|Heartbeat|Level-5|Square Enix,,,,80000000.0,,,,,,1986-05-27 00:00:00,2020-02-27 00:00:00
4,Monster Hunter,,Series,Capcom,Capcom,,,,63000000.0,,,,,,2004-09-21 00:00:00,2020-02-03 00:00:00
5,The Elder Scrolls,,Series,Bethesda Softworks,Bethesda Softworks|Bethesda Game Studios|Vir2L Studios|TKO Software|ZeniMax Online Studios|Dire Wolf Digital,,,,58620000.0,,,,,,1994-03-25 00:00:00,2020-03-04 00:00:00
6,Dragon Ball,,Series,Bandai,Tose|Bandai|BEC|Dimps|Avalanche Software|Spike Chunsoft|Arika|Crafts & Meister|Media.Vision|Spike|Artdink|Arc System Works|CyberConnect2|Webfoot Technologies|Banpresto|Cavia|Game Republic|Monolith Soft|Ganbarion,,,,57000000.0,,,,,,1986-09-27 00:00:00,2020-03-05 00:00:00
7,Diablo,,Series,Blizzard Entertainment,Blizzard North|Blizzard Entertainment|NetEase,,,,50000000.0,,,,,,1997-01-03 00:00:00,2020-02-18 00:00:00
8,The Witcher,,Series,Atari,CD Projekt Red Studio,,,,50000000.0,,,,,,2007-10-30 00:00:00,2020-02-13 00:00:00
9,Fallout,,Series,Interplay Productions,Interplay Entertainment|Black Isle Studios|Micro Forte|Bethesda Game Studios|Obsidian Entertainment,,,,46430000.0,,,,,,1997-10-10 00:00:00,2020-03-07 00:00:00
10,Pokémon Red / Green / Blue Version,,GB,Nintendo,Game Freak,,9.4,,31380000.0,,,,,,1998-09-30 00:00:00,N/A
11,Kingdom Hearts,,Series,Square,Square|Square Enix|Jupiter|h.a.n.d.|BitGroove Inc.|Success,,,,30000000.0,,,,,,2002-09-17 00:00:00,2020-02-27 00:00:00
12,Souls,,Series,Atlus,From Software,,,,28000000.0,,,,,,2009-10-06 00:00:00,2020-02-17 00:00:00
13,Pokémon Gold / Silver Version,,GB,Nintendo,Game Freak,,9.2,,23100000.0,,,,,,2000-10-14 00:00:00,N/A
14,Tales of,,Series,Namco,Bandai Namco Studios|Namco Tales Studio|Wolf Team,,,,20000000.0,,,,,,1998-09-30 00:00:00,2020-02-06 00:00:00
15,Pokémon Diamond / Pearl Version,,DS,Nintendo,Game Freak,,8.6,,17670000.0,,,,,,2007-04-28 00:00:00,N/A
16,Pokémon Sword / Shield,,NS,Nintendo,Game Freak,7.0,,,17370000.0,,,,,,2019-11-15 00:00:00,2019-11-21 00:00:00
17,Mass Effect,,Series,Microsoft Game Studios,BioWare|IronMonkey Studios,,,,17000000.0,,,,,,2007-11-20 00:00:00,2020-02-24 00:00:00
18,Pokémon X/Y,,3DS,Nintendo,Game Freak,,8.9,9.7,16450000.0,,,,,,2013-10-12 00:00:00,2018-01-06 00:00:00
19,Pokémon Ruby / Sapphire Version,,GBA,Nintendo,Game Freak,,8.8,,16219999.999999998,,,,,,2003-03-17 00:00:00,N/A
20,Pokémon Sun/Moon,,3DS,Nintendo,Game Freak,,9.0,,16180000.0,,,,,,2016-11-18 00:00:00,2018-08-03 00:00:00
21,Super Robot Wars,,Series,Bandai,Banpresto|B.B. Studio|Winkysoft|Bandai Namco Entertainment,,,,16000000.0,,,,,,1991-04-20 00:00:00,2020-02-19 00:00:00
22,Pokémon Black / White Version,,DS,Nintendo,Game Freak,,8.6,9.0,15640000.0,,,,,,2011-03-06 00:00:00,N/A
23,Pokemon Mystery Dungeon,,Series,Nintendo,Chunsoft|Spike Chunsoft,,,,15220000.0,,,,,,2006-09-18 00:00:00,2020-03-03 00:00:00
24,Pokémon Yellow: Special Pikachu Edition,,GB,Nintendo,Game Freak,,8.7,,14640000.0,,,,,,1999-10-19 00:00:00,N/A
25,Pokémon Omega Ruby/Pokémon Alpha Sapphire,,3DS,Nintendo,Game Freak,,,,14270000.0,,,,,,2014-11-21 00:00:00,2018-08-03 00:00:00
26,Yo-kai Watch,,Series,Nintendo,Level 5,,,,14000000.0,,,,,,2015-11-06 00:00:00,2020-02-16 00:00:00
27,Pokémon Heart Gold / Soul Silver Version,,DS,Nintendo,Game Freak,8.5,8.6,,12720000.0,,,,,,2010-03-14 00:00:00,N/A
