Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
1,The Sims,,Series,Electronic Arts,Maxis,,,,200000000.0,,,,,,2000-02-04 00:00:00,2020-02-18 00:00:00
2,Animal Crossing,,Series,Nintendo,Nintendo,,,,47730000.0,,,,,,2002-09-16 00:00:00,2020-02-20 00:00:00
3,Nintendogs,,Series,Nintendo,Nintendo,,,,28550000.0,,,,,,2005-08-22 00:00:00,2020-02-20 00:00:00
4,Petz,,Series,Unknown,PF Magic|Mindscape|Ubisoft,,,,24000000.0,,,,,,N/A,2020-02-10 00:00:00
5,Nintendogs,,DS,Nintendo,Nintendo EAD,,8.4,,23960000.0,,,,,,2005-08-23 00:00:00,N/A
6,Imagine,,Series,Ubisoft,Ubisoft|Lexis Numerique|Magic Pockets|Virtual Toys|Powerhead Games|Jet Black Games,,,,21000000.0,,,,,,2007-10-01 00:00:00,2020-02-10 00:00:00
7,Football Manager,,Series,Sega,Sports Interactive,,,,20000000.0,,,,,,2004-11-05 00:00:00,2020-02-07 00:00:00
8,SimCity,,Series,Maxis,Maxis|Tilted Mill Entertainment|Aspyr Media|Full Fat|Infogrames|Nintendo|Babaroga|HAL Laboratory|Track Twenty,,,,20000000.0,,,,,,1989-02-02 00:00:00,2020-02-17 00:00:00
9,RollerCoaster Tycoon,,Series,Hasbro Interactive,Chris Sawyer Productions|Frontier Developments|n-Space|On5|Nvizzio Creations,,,,17230000.0,,,,,,1999-03-22 00:00:00,2020-03-11 00:00:00
10,Ace Combat,,Series,Namco,Namco|Arsys Software|Project Aces|HumanSoft|Access Games|Namco Bandai|QLoc|Bandai Namco Studios,,,,16000000.0,,,,,,1995-09-09 00:00:00,2020-03-11 00:00:00
11,Animal Crossing: New Horizons,,NS,Nintendo,Nintendo,8.0,,,13410000.0,,,,,,2020-03-20 00:00:00,2020-04-11 00:00:00
12,Animal Crossing: New Leaf,,3DS,Nintendo,Nintendo EAD,,8.6,,12550000.0,,,,,,2013-06-09 00:00:00,2018-01-02 00:00:00
13,Cooking Mama,,Series,Majesco Entertainment,Cooking Mama Limited,,,,12000000.0,,,,,,2006-09-12 00:00:00,2020-02-22 00:00:00
14,Animal Crossing: Wild World,,DS,Nintendo,Nintendo EAD,,8.5,,11750000.0,,,,,,2005-12-05 00:00:00,N/A
15,Farming Simulator,,Series,Astragon,Giants Software,,,,10580000.0,,,,,,2008-04-14 00:00:00,2020-03-03 00:00:00
16,Tomodachi,,Series,Nintendo,Nintendo,,,,10350000.0,,,,,,2014-06-06 00:00:00,2020-02-19 00:00:00
17,Stardew Valley,,Series,Chucklefish,ConcernedApe,,,,10000000.0,,,,,,2016-02-26 00:00:00,2020-02-12 00:00:00
18,The Sims 3,,PC,Electronic Arts,EA Redwood Shores,8.8,8.5,,,7960000.0,1010000.0,6460000.0,,500000.0,2009-06-02 00:00:00,N/A
19,Tomodachi Life,,3DS,Nintendo,Nintendo,,7.8,,6590000.0,,,,,,2014-06-06 00:00:00,2018-01-05 00:00:00
20,Championship Manager,,Series,Domark Software,Intelek|Sports Interactive|Sterling Games|Eidos Interactive|Beautiful Game Studios|Gusto Games|Square Enix,,,,6000000.0,,,,,,1992-09-01 00:00:00,2020-02-12 00:00:00
21,Cities: Skylines,,PC,Paradox Interactive,Colossal Order,,,,6000000.0,,,,,,2015-03-10 00:00:00,2018-01-14 00:00:00
22,Euro Truck Simulator 2,,PC,SCS Software,SCS Software,,8.5,,5980000.0,,,,,,2013-01-16 00:00:00,2017-12-31 00:00:00
23,Cooking Mama,,DS,Majesco,Office Create,,6.6,,,5660000.0,3090000.0,1920000.0,70000.0,580000.0,2006-09-12 00:00:00,N/A
24,Microsoft Flight Simulator,,PC,Microsoft,Microsoft,,7.0,,,5120000.0,3220000.0,1690000.0,,200000.0,1996-10-31 00:00:00,N/A
25,Stardew Valley,,PC,Chucklefish,ConcernedApe,,9.2,,4910000.0,,,,,,2016-02-26 00:00:00,2018-03-21 00:00:00
26,Nintendogs + cats,,3DS,Nintendo,Nintendo EAD,,7.2,,4590000.0,,,,,,2011-03-27 00:00:00,N/A
27,Animal Crossing: City Folk,,Wii,Nintendo,Nintendo EAD,6.8,7.1,8.8,4320000.0,,,,,,2008-11-16 00:00:00,N/A
28,The Sims 4,,PC,Electronic Arts,Maxis,5.8,7.0,,,4099999.9999999995,1200000.0,2600000.0,,300000.0,2014-09-02 00:00:00,2017-12-29 00:00:00
29,Kerbal Space Program,,Series,Private Division,Squad,,,,4000000.0,,,,,,2015-04-27 00:00:00,2020-02-06 00:00:00
30,The Sims: Unleashed,,PC,Electronic Arts,Maxis,,7.3,,,3760000.0,2029999.9999999998,1560000.0,,170000.0,2002-09-23 00:00:00,N/A
31,MySims,,DS,Electronic Arts,EA Redwood Shores,,6.7,,,3660000.0,1580000.0,1600000.0,80000.0,400000.0,2007-09-18 00:00:00,N/A
