Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
1,FIFA,,Series,EA Sports,Extended Play Productions (1991-1997)|EA Vancouver (1997-present)|EA Romania (2016-present),,,,282400000.0,,,,,,1993-12-15 00:00:00,2020-02-03 00:00:00
2,Madden NFL,,Series,Electronic Arts,"Park Place Productions|D.C. True, Ltd.|Electronic Arts|Blue Sky Productions|Visual Concepts|High Score Productions|Halestorm|Tiertex|Tiburon Entertainment|EA Tiburon|EA Sports|THQ|3d6 Games|Budcat Creations|Exient Entertainment|EA Canada|HB Studios",,,,130000000.0,,,,,,1988-06-01 00:00:00,2020-02-25 00:00:00
3,Wii Sports,,Series,Nintendo,Nintendo|Bandai Namco Studios,,,,115990000.0,,,,,,2006-11-19 00:00:00,2020-02-20 00:00:00
4,Pro Evolution Soccer,,Series,Konami,Konami,,,,106800000.0,,,,,,1995-12-22 00:00:00,2020-02-26 00:00:00
5,NBA 2K,,Series,Sega,Visual Concepts|Saber Interactive,,,,102000000.0,,,,,,1999-11-10 00:00:00,2020-02-16 00:00:00
6,Wii Sports,,Wii,Nintendo,Nintendo EAD,,7.7,,82900000.0,,,,,,2006-11-19 00:00:00,N/A
7,NBA Live,,Series,EA Sports,EA Canada|EA Tiburon,,,,35000000.0,,,,,,1994-10-01 00:00:00,2020-02-24 00:00:00
8,Wii Sports Resort,,Wii,Nintendo,Nintendo EAD,8.8,8.0,8.8,33130000.000000004,,,,,,2009-07-26 00:00:00,N/A
9,Tony Hawk's,,Series,Activision,Neversoft|Robomodo|Maple Media|Vicarious Visions|Edge of Reality|Natsume|Treyarch|Shaba Games|HotGen|Gearbox Software|Beenox|Visual Impact|Toys For Bob|SuperVillain Studios|Page 44 Studios|Creat Studios|Buzz Monkey|Big Bit|Disruptive Games,,,,30120000.0,,,,,,1999-09-29 00:00:00,2020-03-09 00:00:00
10,Mario & Sonic at the Olympic Games,,Series,Sega,Sega|Racjin|Arzest|Spike Chunsoft,,,,25670000.0,,,,,,2007-11-06 00:00:00,2020-03-11 00:00:00
11,Tiger Woods PGA Tour,,Series,EA Sports,EA Redwood Shores|Xantera|Rainbow Studios|Headgate Studios|Stormfront Studios|Rebellion Developments|Adrenalin Entertainment|Backbone Emeryville|Sensory Sweep Studios|EA Canada|Team Fusion|EA Tiburon|Exient Entertainment|HB Studios,,,,25000000.0,,,,,,1998-08-31 00:00:00,2020-02-24 00:00:00
12,Wii Fit,,Wii,Nintendo,Nintendo EAD,8.0,7.9,,22670000.0,,,,,,2008-05-21 00:00:00,N/A
13,Jikkyo Powerful Pro Yakyu,,Series,Konami,Konami,,,,22600000.0,,,,,,1994-03-11 00:00:00,2020-02-26 00:00:00
14,Wii Fit Plus,,Wii,Nintendo,Nintendo EAD,,8.0,,21130000.0,,,,,,2009-10-04 00:00:00,N/A
15,Backyard Sports,,Series,Humongous Entertainment,Humongous Entertainment,,,,15000000.0,,,,,,1997-01-01 00:00:00,2020-03-03 00:00:00
16,Famista,,Series,Namco,Namco|Bandai Namco Entertainment,,,,15000000.0,,,,,,1986-12-10 00:00:00,2020-02-22 00:00:00
17,Mario Tennis,,Series,Nintendo,Nintendo|Camelot Software Planning,,,,14920000.0,,,,,,1995-08-14 00:00:00,2020-02-21 00:00:00
18,Everybody's Golf,,Series,Sony Computer Entertainment,Camelot Software|Clap Hanz,,,,14190000.0,,,,,,1998-04-30 00:00:00,2020-03-09 00:00:00
19,FIFA 18,,PS4,EA Sports,EA Vancouver,,8.3,,,11800000.0,1270000.0,8640000.0,150000.0,1730000.0,2017-09-29 00:00:00,2018-04-02 00:00:00
20,FIFA 17,,PS4,Electronic Arts,EA Canada,,8.9,,,10940000.0,1260000.0,7950000.0,120000.0,1610000.0,2016-09-27 00:00:00,2018-03-28 00:00:00
21,Rocket League,,Series,Psyonix,Psyonix,,,,10500000.0,,,,,,2015-07-07 00:00:00,2020-03-16 00:00:00
22,Mario Golf,,Series,Nintendo,Nintendo|Camelot Software Planning,,,,9870000.0,,,,,,1991-09-29 00:00:00,2020-02-21 00:00:00
23,FIFA 19,,PS4,Electronic Arts,EA Sports,,,,,9150000.0,840000.0,6870000.0,100000.0,1340000.0,2018-09-28 00:00:00,2018-09-12 00:00:00
